lab,trial_type,looking_time
infantlanglabutk,IDS3,5249.0
ldlottawa,IDS,7.00667
infantlanglabutk,Train 2,3358.0
bchdosu,ADS,3.745
pocdnorthwestern,IDS,2.96996
icclbc,Training,20.632
kyotobabylab,ADS,7.61
childlabmanchester,IDS,1.872
musdevutm,ADS,9.766
purdueinfantspeech,IDS,13.36
chosunbaby,,
ldlottawa,ADS,4.57166
babylabpotsdam,ADS,4.562
purdueinfantspeech,IDS,15.97
babylabpotsdam,IDS,6.673
weltentdeckerzurich,IDS,7.04
labunam,IDS,5358.0
ldlottawa,IDS,0.5667
pocdnorthwestern,ADS,4.384
infantllmadison,IDS,5.587
infantcogubc,Training,3.44
langlabucla,ADS,7.072
babylabutrecht,IDS,1.9162
unlvmusiclab,IDS,17.424
lllliv,ADS,
icclbc,ADS,4.065
bounbcl,ADS,6.96
ethosrennes,training,2.19
babylabpotsdam,ADS,4.189
babylabnijmegen,IDS,3.34
unlvmusiclab,IDS,17.677
cdcceu,IDS,8.492
babylabpotsdam,IDS,5.894
babylabutrecht,IDS,1.030746
wsigoettingen,IDS,17.18
infantllmadison,ADS,5.103
babylabumassb,IDS,2.4133
unlvmusiclab,ADS,17.209
infantllmadison,ADS,18.023
kokuhamburg,IDS,
babylablmu,IDS,3.02
bllumanitoba,IDS,13.079
bounbcl,ADS,18.16
infantstudiesubc,IDS,4.237566667
lppparisdescartes2,training,17068.0
babylabbrookes,IDS,12.83
babylablmu,ADS,0.89
ldlottawa,ADS,4.57
wsigoettingen,ADS,18.0
babylabutrecht,ADS,3.28719
wsigoettingen,IDS,
infantcoglablouisville,IDS,3.328
dcnlabtennessee,ADS,3.73
earlysocogfm,ADS,
chosunbaby,ADS,10.271
babylabshimane,ADS,0.01
babylabumassb,ADS,4.9833
babylingoslo,ADS,0.44
bllumanitoba,ADS,
ethosrennes,IDS,13.14
babylabyork,IDS,5.4
purdueinfantspeech,ADS,6.62
unlvmusiclab,IDS,17.508
ethosrennes,IDS,0.55
babylabnijmegen,ADS,7.69
ldlottawa,IDS,16.665
ldlottawa,ADS,1.25167
weltentdeckerzurich,training,11.92
babylabpotsdam,ADS,18.0
kyotobabylab,ADS,7.73
babylabutrecht,ADS,13.581587
weltentdeckerzurich,ADS,0.96
infantcogubc,ADS,0.0
udssaarland,IDS,2.0925400257
babylabpotsdam,IDS,9.291
infantstudiesubc,ADS,
dcnlabtennessee,IDS,0.0
jmucdl,ADS,2.56
udssaarland,training,18.0086979866
bounbcl,IDS,3.04
babylabnijmegen,IDS,6.19
babylabplymouth,ADS,14.77
dcnlabtennessee,training,5.535
purdueinfantspeech,training,8.3
icclbc,IDS,9.0
udssaarland,IDS,5.9714570045
purdueinfantspeech,ADS,1.13
nusinfantlanguagecentre,IDS,0.95
cdcceu,ADS,17.02
ethosrennes,training,12.1
chosunbaby,ADS,8.799
ethosrennes,IDS,0.02
ldlottawa,ADS,1.635
lcdfsu,test-ADS,750.0
irlconcordia,IDS,
baldwinlabuoregon,training,7.524843072
udssaarland,ADS,8.2548978329
childlabmanchester,IDS,0.032
lancaster,IDS,0.0
nusinfantlanguagecentre,ADS,2.5
langlabucla,IDS,13.312
bchdosu,IDS,6.063
ethosrennes,training,8.95
babylabumassb,ADS,0.43333
jmucdl,Training,0.0
cfnuofn,IDS,0.0
ethosrennes,IDS,1.1
unlvmusiclab,ADS,17.363
langlabucla,IDS,7.375
infantcoglablouisville,training,0.592
infantcogubc,ADS,15.6
childlabmanchester,ADS,0.0
nusinfantlanguagecentre,ADS,2.53
babylabparisdescartes1,ADS,1.021
ldlottawa,IDS,3.5866
bllumanitoba,ADS,14.543
ldlottawa,IDS,
babylabshimane,IDS,1.72
udssaarland,ADS,12.6898567677
babylablmu,ADS,
socialcogumiami,IDS,3.48
islnotredame,ADS,16.598
trainorlab,ADS,11.1001
infantcogubc,IDS,14.23
ldlottawa,ADS,0.9166
infantcogubc,IDS,3.7
cdcceu,,
infantllmadison,IDS,6.486
babylabyork,ADS,10.4
infantstudiesubc,training,18.65196667
babylabbrookes,IDS,15.608
weltentdeckerzurich,IDS,0.0
pocdnorthwestern,IDS,
infantcogubc,Training,10.85
infantlanglabutk,ADS1,20109.0
ethosrennes,IDS,3.04
lcduleeds,IDS,3.67
icclbc,Training,0.0
babylabshimane,ADS,1.33
infantlanglabutk,ADS8,287.0
babylabpotsdam,training,16.337
kyotobabylab,ADS,11.83
langlabucla,IDS,7.408
infantlanglabutk,ADS7,2776.0
lppparisdescartes2,IDS,2429.0
babylabshimane,ADS,0.0
islnotredame,IDS,17.505
childlabmanchester,ADS,2.668
bllumanitoba,IDS,3.055
ethosrennes,IDS,0.78
ldlottawa,ADS,0.25
udssaarland,IDS,3.3854699135
babylabkingswood,ADS,7226.0
chosunbaby,training,7.168
infantllmadison,training,4.248
dcnlabtennessee,IDS,2.43
socialcogumiami,IDS,0.13
bounbcl,IDS,1.6
infantllmadison,ADS,3.567
wsigoettingen,ADS,18.0
babylabuclajohnson,IDS,2.46
babylabkingswood,ADS,4133.0
islnotredame,IDS,15.681
ethosrennes,IDS,
bllumanitoba,ADS,12.924
ethosrennes,IDS,13.83
babylablmu,IDS,
babylabnijmegen,training,18.02
bchdosu,ADS,4.481
earlysocogfm,IDS,
chosunbaby,IDS,4.47
babylabparisdescartes1,ADS,3.446
lcduleeds,IDS,1.213
callab,IDS,5.29606628417969
musdevutm,IDS,15.866
labunam,ADS,0.0
babylabplymouth,ADS,
babylabbrookes,training,9.62
cfnuofn,IDS,4.35
islnotredame,IDS,6.528
kokuhamburg,ADS,
trainorlab,IDS,3.1431
infantcogubc,ADS,6.63
babylabkingswood,training,9312.0
wsigoettingen,ADS,9.82
babylabumassb,ADS,11.99
earlysocogfm,ADS,
babylabpotsdam,IDS,5.502
bllumanitoba,IDS,14.156
babylabnijmegen,training,1.03
babylabbrookes,IDS,9.34
lscppsl,ADS,10363.0
infantllmadison,IDS,14.344
lcdfsu,test-IDS,8845.0
lscppsl,IDS,0.0
infantlanglabutk,ADS3,5469.0
infantllmadison,IDS,5.628
childlabmanchester,ADS,4.656
cfnuofn,IDS,0.0
infantcogubc,ADS,5.59
madlabucsd,ADS,13.21
musdevutm,training,15.178
purdueinfantspeech,ADS,13.72
kokuhamburg,IDS,1.91
trainorlab,IDS,10.3779
weltentdeckerzurich,ADS,15.84
babylabyork,ADS,17.9
babylabbrookes,IDS,16.642
lppparisdescartes2,IDS,2198.0
babylabutrecht,IDS,15.513036
babylabplymouth,IDS,3.44
wsigoettingen,IDS,10.85
childlabmanchester,ADS,2.586
kyotobabylab,IDS,6.66
wsigoettingen,ADS,17.11
kokuhamburg,ADS,
socialcogumiami,training,9.54
ldlottawa,ADS,1.81833
babylabkingswood,ADS,2028.0
babylabuclajohnson,IDS,10.0
babylabnijmegen,IDS,2.85
isplabmcgill,ADS,
ldlottawa,ADS,1.60167
bchdosu,IDS,14.964
babylablmu,IDS,10.92
lscppsl,IDS,3025.0
purdueinfantspeech,IDS,2.51
babylabkingswood,IDS,4660.0
ldlottawa,ADS,2.20167
irlconcordia,IDS,14.31
babylabkingswood,IDS,764.0
infantllmadison,training,6.152
bcrlunlv,ADS,1.5
babylabreading,ADS,
irlconcordia,ADS,2.05
babylabnijmegen,ADS,5.33
babylabreading,ADS,7.63
wsigoettingen,ADS,6.81
lllliv,training,2.319
wsigoettingen,ADS,2.99
ethosrennes,ADS,0.99
babylabprinceton,ADS,4.126
babylabuclajohnson,ADS,18.0
bchdosu,ADS,0.112
cfnuofn,IDS,9.47
lcdfsu,test-IDS,2112.0
infantlanglabutk,ADS4,5672.0
langlabucla,IDS,8.352
trainorlab,IDS,4.0106
babylablmu,ADS,0.49
chosunbaby,IDS,9.496
babylabutrecht,ADS,13.146851
wsigoettingen,IDS,3.1
babylabyork,IDS,10.4
langlabucla,ADS,18.994
childlabmanchester,ADS,0.618
babylabutrecht,training,14.371643
babylabplymouth,ADS,4.48
lancaster,IDS,12.2
babylabutrecht,ADS,10.503302
bllumanitoba,ADS,8.319
babylablmu,IDS,1.51
jmucdl,IDS,2.14
earlysocogfm,IDS,
babylabshimane,IDS,2.08
langlabucla,training,8.223
wsigoettingen,ADS,13.2
weltentdeckerzurich,IDS,3.09
babylabumassb,training,7.3633
ldlottawa,ADS,3.38667
babylablmu,ADS,2.87
babylabshimane,ADS,2.97
lllliv,IDS,1.559
lscppsl,training,2389.0
cdcceu,ADS,14.824
wsigoettingen,training,18.0
chosunbaby,ADS,16.531
babylabpotsdam,IDS,5.708
chosunbaby,IDS,4.013
weescienceedinburgh,ADS,
babylabkonstanz,IDS,17.67
earlysocogfm,IDS,
purdueinfantspeech,IDS,
socialcogumiami,IDS,5.63
labunam,ADS,
icclbc,ADS,
babylablmu,IDS,1.83
madlabucsd,training,2.3
cdcceu,IDS,17.7
dcnlabtennessee,IDS,0.0
earlysocogfm,ADS,4.68
weescienceedinburgh,ADS,17.7
chosunbaby,IDS,11.708
lppparisdescartes2,ADS,7127.0
langlabucla,ADS,2.64
infantstudiesubc,IDS,1.935266667
ethosrennes,ADS,2.91
chosunbaby,ADS,3.704
irlconcordia,ADS,0.0
babylabprinceton,training,16.944
lcdfsu,test-IDS,400.0
babylablmu,ADS,
babylablmu,IDS,
baldwinlabuoregon,IDS,3.070440147
bllumanitoba,ADS,3.559
infantstudiesubc,ADS,4.004
lllliv,ADS,0.026
babylabparisdescartes1,ADS,
baldwinlabuoregon,IDS,0.380585949
wsigoettingen,IDS,14.88
babylablmu,IDS,
labunam,training,12434.0
infantcogubc,IDS,15.43
langlabucla,IDS,
lcduleeds,IDS,7.749
childlabmanchester,ADS,1.346
babylabpotsdam,ADS,3.244
babylabplymouth,IDS,7.13
babylabparisdescartes1,ADS,0.841
islnotredame,IDS,10.916
lancaster,IDS,14.11808094
babylabbrookes,IDS,17.48
wsigoettingen,IDS,6.29
childlabmanchester,ADS,1.55
lcdfsu,test-IDS,12343.0
labunam,ADS,4193.0
babylablmu,IDS,
bchdosu,IDS,7.328
babylablmu,ADS,3.53
langlabucla,ADS,
dcnlabtennessee,ADS,2.604
bchdosu,ADS,3.248
babylabnijmegen,IDS,6.92
babylabbrookes,IDS,17.51
bchdosu,ADS,15.24
weltentdeckerzurich,ADS,0.0
islnotredame,ADS,6.084
babylabuclajohnson,IDS,2.2
babylablmu,training,4.69
babylabnijmegen,IDS,16.15
kokuhamburg,IDS,
musdevutm,training,9.641
babylabumassb,IDS,2.15
unlvmusiclab,Training,18.432
kyotobabylab,IDS,2.23
lcduleeds,IDS,0.0
kokuhamburg,,
babylabkingswood,ADS,7815.0
babylabplymouth,IDS,15.71
babylabuclajohnson,training,9.2
jmucdl,ADS,
infantllmadison,IDS,2.92
icclbc,IDS,14.049
wsigoettingen,ADS,16.32
islnotredame,IDS,5.75
langlabucla,ADS,2.816
langlabucla,IDS,18.993
bllumanitoba,ADS,1.879
babylabpotsdam,ADS,4.909
udssaarland,IDS,7.2487800121
babylabuclajohnson,ADS,5.69
babylabreading,ADS,3.83
ethosrennes,ADS,
cdcceu,ADS,1.732
lllliv,ADS,3.161
bcrlunlv,ADS,4.167
babylabuclajohnson,IDS,1.83
chosunbaby,ADS,5.806
irlconcordia,ADS,4.9
udssaarland,ADS,5.9458529949
kyotobabylab,IDS,3.55
earlysocogfm,training,13.56
unlvmusiclab,IDS,16.592
weescienceedinburgh,ADS,1.66
langlabucla,training,18.995
ethosrennes,ADS,6.45
chosunbaby,IDS,8.175
ethosrennes,ADS,4.64
langlabucla,IDS,5.936
labunam,IDS,2683.0
kokuhamburg,,
babylableiden,ADS,3.52
infantcoglablouisville,IDS,16.6
ileap,IDS,6.848
bchdosu,ADS,3.264
babylablangessex,ADS,2.275
babylabpotsdam,ADS,8.332
bcrlunlv,IDS,7.9
lllliv,IDS,1.176
chosunbaby,ADS,3.901
langlabucla,IDS,5.776
langlabucla,training,7.6
infantcoglablouisville,IDS,0.976
babylabplymouth,IDS,7.08
babylabyork,ADS,4.4
lscppsl,ADS,0.0
babylabbrookes,training,7.09
icclbc,IDS,15.899
pocdnorthwestern,IDS,5.773020000000001
udssaarland,IDS,3.8676011562
infantlanglabutk,ADS8,1440.0
infantllmadison,ADS,1.111
lllliv,IDS,0.724
ethosrennes,ADS,2.78
bounbcl,IDS,5.32
nusinfantlanguagecentre,training,17.58
bllumanitoba,training,2.823
earlysocogfm,ADS,
weltentdeckerzurich,IDS,2.78
babylabkonstanz,IDS,4.61
irlconcordia,training,4.36
irlconcordia,training,4.38
babylabplymouth,IDS,3.41
labunam,IDS,1517.0
kokuhamburg,ADS,
unlvmusiclab,ADS,10.439
babylabkonstanz,ADS,4.33
ethosrennes,IDS,3.45
madlabucsd,ADS,
wsigoettingen,IDS,1.51
infantcoglablouisville,ADS,5.1
babylabkingswood,IDS,4978.0
babylingoslo,ADS,1.0
weltentdeckerzurich,ADS,1.51
lllliv,IDS,5.343
bchdosu,IDS,17.842
cdcceu,ADS,10.408
purdueinfantspeech,IDS,16.11
infantlanglabutk,IDS6,1084.0
irlconcordia,ADS,1.95
nusinfantlanguagecentre,IDS,
babylabuclajohnson,IDS,17.82
babylabbrookes,ADS,
ethosrennes,ADS,0.27
infantlanglabutk,IDS4,18369.0
babylablangessex,ADS,0.0
infantcoglablouisville,IDS,6.592
irlconcordia,IDS,9.08
lppparisdescartes2,IDS,4229.0
dcnlabtennessee,ADS,1.126
babylabbrookes,ADS,5.26
bcrlunlv,training,11.43
trainorlab,IDS,5.7466
weltentdeckerzurich,IDS,7.02
nusinfantlanguagecentre,IDS,
babylabutrecht,ADS,3.414256
babylingoslo,IDS,0.0
nusinfantlanguagecentre,IDS,7.8
weltentdeckerzurich,IDS,12.9
lllliv,ADS,0.0
babylabutrecht,ADS,4.652059
wsigoettingen,IDS,16.3
wsigoettingen,IDS,14.1
earlysocogfm,IDS,13.14
ldlottawa,IDS,7.723
babylablangessex,ADS,0.0
babylabutrecht,IDS,15.956142
babylabbrookes,IDS,2.79
babylabutrecht,ADS,11.333574
babylabbrookes,IDS,2.96
bcrlunlv,IDS,4.567
babylabutrecht,ADS,5.491072
callab,training,9.51492309570312
babylabyork,ADS,3.3
babylabkingswood,IDS,9467.0
babylabkingswood,IDS,7023.0
earlysocogfm,ADS,5.52
langlabucla,IDS,7.2
babylabkingswood,ADS,1.0
udssaarland,ADS,2.8605949879
cdcceu,ADS,3.674
ethosrennes,ADS,9.02
musdevutm,training,8.424
babylabreading,ADS,11.88
ldlottawa,IDS,5.98833
infantllmadison,ADS,3.849
purdueinfantspeech,training,4.66
chosunbaby,IDS,3.439
babylabkonstanz,ADS,8.31
labunam,IDS,
bchdosu,Training,6.944
chosunbaby,IDS,2.598
pocdnorthwestern,IDS,16.322039999999998
ethosrennes,IDS,2.98
babylabnijmegen,training,5.08
cdcceu,IDS,2.224
babylabutrecht,IDS,4.062125
infantlanglabutk,IDS1,13391.0
infantllmadison,ADS,4.265
labunam,IDS,7841.0
babylabnijmegen,training,6.68
pocdnorthwestern,Training,1.32399
babylabbrookes,ADS,6.65
lppparisdescartes2,IDS,7400.0
lscppsl,IDS,5551.0
babylabnijmegen,ADS,2.69
ethosrennes,IDS,3.97
unlvmusiclab,ADS,13.617
babylabnijmegen,ADS,2.9
lllliv,training,3.56
bchdosu,ADS,1.856
unlvmusiclab,ADS,17.488
nusinfantlanguagecentre,ADS,
chosunbaby,ADS,10.879
irlconcordia,ADS,3.13
earlysocogfm,ADS,0.0
babylabnijmegen,IDS,14.03
babylabnijmegen,IDS,13.27
babylabkingswood,IDS,10174.0
bllumanitoba,ADS,11.743
babylabpotsdam,training,3.309
infantlanglabutk,IDS3,2529.0
infantstudiesubc,IDS,7.974633333
pocdnorthwestern,ADS,0.662
bchdosu,IDS,2.032
chosunbaby,ADS,6.855
musdevutm,IDS,6.022
babylableiden,training,
kyotobabylab,ADS,12.34
babylabpotsdam,ADS,17.802
nusinfantlanguagecentre,IDS,10.89
lancaster,IDS,0.0
infantlanglabutk,IDS3,6055.0
babylabnijmegen,training,5.02
langlabucla,IDS,9.104
lcdfsu,test-ADS,4036.0
bounbcl,IDS,6.2
infantllmadison,IDS,8.279
infantllmadison,IDS,
babylabshimane,ADS,17.36
babylabprinceton,training,17.744
ldlottawa,ADS,5.755
bllumanitoba,training,12.415
madlabucsd,ADS,3.14
callab,IDS,4.6865234375
langlabucla,ADS,17.312
lcduleeds,IDS,
bllumanitoba,ADS,5.335
trainorlab,ADS,1.2907
bllumanitoba,IDS,6.359
jmucdl,ADS,
babylabnijmegen,IDS,13.06
purdueinfantspeech,ADS,2.04
ethosrennes,IDS,1.12
purdueinfantspeech,IDS,
lancaster,ADS,4.98
babylabuclajohnson,ADS,8.33
weltentdeckerzurich,IDS,7.73
earlysocogfm,ADS,
earlysocogfm,training,12.28
weltentdeckerzurich,training,4.53
ethosrennes,ADS,0.54
socialcogumiami,ADS,
langlabucla,IDS,7.024
kokuhamburg,training,6.21
musdevutm,training,4.758
minddevlabbicocca,IDS,7378.0
bounbcl,ADS,0.6
islnotredame,IDS,4.086
babylabyork,training,17.9
weescienceedinburgh,ADS,3.49
wsigoettingen,training,4.67
weltentdeckerzurich,training,14.82
ethosrennes,ADS,18.3
minddevlabbicocca,ADS,17751.0
babylabnijmegen,ADS,11.11
ldlottawa,ADS,4.436
ldlottawa,ADS,6.7733
trainorlab,IDS,8.4625
cdcceu,ADS,13.096
infantcogubc,ADS,2.8
labunam,IDS,0.0
chosunbaby,training,7.776
ethosrennes,IDS,2.25
infantcogubc,ADS,8.36
babylabplymouth,ADS,8.51
labunam,IDS,404.0
weltentdeckerzurich,IDS,2.95
udssaarland,training,16.0444002151
babylabyork,ADS,17.9
ethosrennes,training,9.57
purdueinfantspeech,ADS,
cfnuofn,IDS,0.0
musdevutm,IDS,6.319
cogdevlabbyu,IDS,17.1
babylabshimane,ADS,0.0
