lab,trial_type,looking_time
weescienceedinburgh,IDS,10.25
babylabbrookes,IDS,16.08
babylabshimane,ADS,15.12
bounbcl,Training,11.16
icclbc,IDS,1.616
earlysocogfm,ADS,
ethosrennes,IDS,3.64
wsigoettingen,IDS,3.77
socialcogumiami,training,9.42
babylablmu,IDS,
babylabshimane,training,5.36
kokuhamburg,,
babylabkingswood,ADS,13717.0
infantstudiesubc,ADS,0.934266667
babylabnijmegen,ADS,4.36
infantcoglablouisville,ADS,2.32
wsigoettingen,IDS,15.54
unlvmusiclab,Training,10.4
escompicbsleipzig,IDS,1.03
pocdnorthwestern,IDS,3.4210200000000004
cfnuofn,ADS,12.38
weescienceedinburgh,ADS,12.72
babylabbrookes,IDS,13.968
langlabucla,training,18.641
nusinfantlanguagecentre,ADS,
ethosrennes,IDS,2.75
ethosrennes,IDS,1.09
babylabbrookes,IDS,3.75
babylabkingswood,training,2483.0
babylabnijmegen,ADS,3.18
bounbcl,ADS,0.6
kokuhamburg,ADS,3.1
lscppsl,ADS,1562.0
ethosrennes,IDS,9.75
irlconcordia,ADS,4.21
escompicbsleipzig,training,9.04
udssaarland,ADS,2.608492136
dcnlabtennessee,IDS,1.232
lllliv,ADS,3.621
cdcceu,ADS,15.746
bounbcl,IDS,4.12
ldlottawa,ADS,1.81833
lscppsl,ADS,1551.0
babylableiden,ADS,2.83
childlabmanchester,,
udssaarland,training,4.9631521702
lllliv,ADS,5.77
kokuhamburg,IDS,
musdevutm,ADS,
babylablmu,training,0.67
kokuhamburg,training,14.83
icclbc,ADS,7.3
lcdfsu,test-ADS,16454.0
babylabuclajohnson,ADS,9.93
callab,IDS,7.06268310546875
purdueinfantspeech,ADS,1.46
bllumanitoba,ADS,2.607
islnotredame,IDS,3.85
isplabmcgill,IDS,10.9
irlconcordia,ADS,3.95
ethosrennes,training,3.75
dcnlabtennessee,ADS,9.821
islnotredame,IDS,18.017
childlabmanchester,IDS,4.222
chosunbaby,IDS,11.494
babylablangessex,ADS,
infantllmadison,ADS,3.899
lancaster,ADS,4.852769647
musdevutm,ADS,4.166
kokuhamburg,ADS,10.79
kokuhamburg,,
bounbcl,ADS,5.0
babylabbrookes,training,6.95
musdevutm,IDS,16.458
babylabyork,ADS,12.3
labunam,IDS,4547.0
childlabmanchester,IDS,1.612
islnotredame,IDS,7.86
babylabvuw,Training,18.001
nusinfantlanguagecentre,IDS,3.56
labunam,ADS,1526.0
islnotredame,IDS,18.013
babylabparisdescartes1,ADS,
irlconcordia,ADS,0.9
babylabvuw,ADS,18.001
cdcceu,ADS,17.57
cdcceu,ADS,5.632
chosunbaby,,
escompicbsleipzig,IDS,14.54
babylablangessex,IDS,5.689
bllumanitoba,ADS,5.415
babylabuclajohnson,ADS,1.94
lancaster,training,17.18257475
udssaarland,IDS,2.9163489342
udssaarland,ADS,5.5838298798
lancaster,training,10.75
minddevlabbicocca,IDS,0.0
babylabuclajohnson,ADS,8.29
udssaarland,IDS,1.4097659588
udssaarland,IDS,7.4051349163
minddevlabbicocca,IDS,0.0
minddevlabbicocca,IDS,0.0
lancaster,ADS,0.0
babylabuclajohnson,IDS,16.56
babylabuclajohnson,IDS,16.56
udssaarland,training,7.0460629463
lancaster,IDS,2.69
udssaarland,IDS,3.1643381119
lancaster,ADS,0.0
minddevlabbicocca,ADS,0.0
purdueinfantspeech,IDS,6.79
udssaarland,IDS,9.2207620144
udssaarland,training,10.8492460251
babylabuclajohnson,IDS,14.43
babylabuclajohnson,ADS,11.17
minddevlabbicocca,ADS,0.0
minddevlabbicocca,ADS,0.0
udssaarland,IDS,4.6480829716
udssaarland,IDS,3.0483219624
udssaarland,IDS,4.4268908501
udssaarland,ADS,12.1214590073
babylabuclajohnson,ADS,6.23
babylabuclajohnson,ADS,6.78
babylabuclajohnson,ADS,13.54
lancaster,IDS,7.34
lancaster,IDS,4.42
lancaster,IDS,0.03
udssaarland,IDS,4.5853550434
purdueinfantspeech,IDS,1.82
babylabuclajohnson,IDS,5.5
udssaarland,ADS,2.1606209278
lancaster,ADS,1.9488862
babylabuclajohnson,training,9.2
babylabuclajohnson,IDS,16.56
lancaster,ADS,0.0
lancaster,IDS,8.05
babylabuclajohnson,IDS,6.13
babylabuclajohnson,IDS,17.38
udssaarland,ADS,2.5396261215
udssaarland,training,7.0460629463
infantcoglablouisville,ADS,0.0
babylabuclajohnson,ADS,10.05
lancaster,IDS,2.69
udssaarland,IDS,4.6991400719
lancaster,ADS,0.0
udssaarland,ADS,9.6346421242
babylabuclajohnson,ADS,1.94
infantllmadison,ADS,4.624
udssaarland,IDS,2.9056990147
udssaarland,ADS,1.4785573483
udssaarland,IDS,2.9163489342
lancaster,IDS,5.0
udssaarland,training,10.2006587982
purdueinfantspeech,ADS,14.63
minddevlabbicocca,ADS,0.0
babylabuclajohnson,training,18.0
minddevlabbicocca,IDS,0.0
udssaarland,IDS,1.5019440651
minddevlabbicocca,IDS,1892.0
udssaarland,IDS,2.4317109585
babylabuclajohnson,IDS,1.06
infantcoglablouisville,IDS,2.28
babylabuclajohnson,ADS,11.17
udssaarland,ADS,8.317360878
lancaster,ADS,8.264528562
minddevlabbicocca,ADS,0.0
udssaarland,ADS,14.1621670723
lancaster,ADS,11.27
udssaarland,IDS,3.1643381119
lancaster,IDS,0.0
minddevlabbicocca,IDS,0.0
babylabuclajohnson,ADS,6.31
babylabuclajohnson,ADS,3.67
udssaarland,IDS,1.2320017815
lancaster,ADS,1.9488862
lllliv,IDS,
babylabuclajohnson,IDS,15.41
purdueinfantspeech,ADS,1.3
udssaarland,IDS,2.1041150093
udssaarland,IDS,3.1643381119
udssaarland,ADS,5.098856926
udssaarland,training,4.9631521702
udssaarland,training,10.2006587982
udssaarland,ADS,12.5468688011
udssaarland,ADS,5.6785399914
babylabuclajohnson,ADS,6.78
udssaarland,ADS,1.7502679825
infantcoglablouisville,IDS,0.904
purdueinfantspeech,IDS,6.79
babylabuclajohnson,ADS,11.17
udssaarland,training,10.8492460251
