lab,trial_type,trial_num,lang1,age_days,subid_unique,method,trial_error,session_error,looking_time,total_trial_time
infantcoglablouisville,ADS,8.0,English,323.0,infantcoglablouisville:238325,singlescreen,noerror,0.0,1.205072199769237,1.205072199769237
kokuhamburg,IDS,1.0,German,191.0,kokuhamburg:mb20,eyetracking,noerror,0.0,2.432735777459091,2.8903717578961645
bchdosu,IDS,14.0,English,329.0,bchdosu:mb0036,singlescreen,noerror,0.0,0.8415671856782185,1.4637182580846944
lppparisdescartes2,IDS,11.0,french,234.0,lppparisdescartes2:mb23lmm,hpp,noerror,0.0,6.92951677076365,2.8903717578961645
babylabnijmegen,ADS,2.0,Dutch,257.0,babylabnijmegen:ba0369,hpp,noerror,0.0,2.503891949699081,7.38770923908104
ethosrennes,ADS,16.0,french,168.0,ethosrennes:jy418,eyetracking,error,1.0,-11.512925464970229,1.4036429994545037
weltentdeckerzurich,IDS,3.0,Swissgerman,453.0,weltentdeckerzurich:mb12588,eyetracking,noerror,1.0,0.636576829071551,1.7404661748405046
babylabvuw,TRAIN,-2.0,English,204.0,babylabvuw:s08,singlescreen,noerror,0.0,2.771963526845863,2.8226875535402454
lcdfsu,IDS,9.0,English,474.0,lcdfsu:lcd032,eyetracking,noerror,0.0,-11.512925464970229,7.617759576608505
labunam,TRAIN,-1.0,spanish,96.0,labunam:5633,eyetracking,noerror,0.0,9.428189934829282,9.799681383810539
purdueinfantspeech,TRAIN,-1.0,English,376.0,purdueinfantspeech:4292,hpp,noerror,0.0,2.9512577834521614,2.9512577834521614
trainorlab,IDS,4.0,English,219.0,trainorlab:s31,hpp,noerror,1.0,2.296476473309637,2.502754753868419
babylabnijmegen,ADS,8.0,Dutch,236.0,babylabnijmegen:ba3269,hpp,noerror,0.0,1.6253112615903906,6.777646593635117
ldlottawa,IDS,10.0,English,236.0,ldlottawa:mbms74,singlescreen,noerror,0.0,0.41653692207521414,1.9179074212160663
callab,ADS,2.0,English,345.0,callab:callab5,eyetracking,noerror,0.0,2.288886964220218,2.5066413860746017
icclbc,IDS,13.0,English,215.0,icclbc:13,singlescreen,noerror,0.0,1.3987168811184478,1.8218035905764316
infantcogubc,IDS,2.0,English,145.0,infantcogubc:kw21,singlescreen,noerror,0.0,2.175887439948088,2.533696813957432
infantcogubc,ADS,1.0,English,166.0,infantcogubc:nk47,singlescreen,noerror,0.0,2.739548868161581,2.8903717578961645
chosunbaby,ADS,7.0,Korean,383.0,chosunbaby:h89o37,hpp,noerror,0.0,2.8058421472600843,2.8058421472600843
ethosrennes,ADS,9.0,french,181.0,ethosrennes:dy738,eyetracking,noerror,0.0,1.9685099809725544,2.905807566026004
bllumanitoba,IDS,6.0,English,264.0,bllumanitoba:2329,hpp,noerror,0.0,2.044720688951447,2.275933061996619
musdevutm,ADS,1.0,English,235.0,musdevutm:mb28,hpp,noerror,0.0,2.800811681183521,2.8903717578961645
weescienceedinburgh,IDS,11.0,English,184.0,weescienceedinburgh:mb19,singlescreen,noerror,0.0,2.856470206220483,2.8903717578961645
babylabumassb,ADS,9.0,English,269.0,babylabumassb:mbpumb031092643,eyetracking,noerror,0.0,-0.5163910822388722,2.890743910860881
babylabplymouth,ADS,16.0,english,323.0,babylabplymouth:mb1006,hpp,error,0.0,0.0,1.545432582458188
pocdnorthwestern,ADS,6.0,English,438.0,pocdnorthwestern:mb39,eyetracking,noerror,0.0,0.7983986902768399,1.9265816950355004
pocdnorthwestern,ADS,5.0,English,415.0,pocdnorthwestern:mb28,eyetracking,noerror,0.0,2.1093595027171084,2.402430427963762
trainorlab,ADS,2.0,English,266.0,trainorlab:s07,hpp,noerror,1.0,1.8454582015619896,2.46903130062971
chosunbaby,ADS,7.0,Korean,277.0,chosunbaby:h59y41,hpp,error,0.0,2.1653898538162006,2.1653898538162006
babylablangessex,ADS,8.0,English,415.0,babylablangessex:mb121504,eyetracking,noerror,1.0,1.1537315878891892,2.1428857142363706
lppparisdescartes2,IDS,5.0,french,267.0,lppparisdescartes2:mb20ply,hpp,noerror,0.0,7.795234929002173,2.8903717578961645
trainorlab,TRAIN,-2.0,English,258.0,trainorlab:s14,hpp,error,1.0,1.9845262838835482,2.329966769735263
chosunbaby,ADS,6.0,Korean,293.0,chosunbaby:h22y18,hpp,error,0.0,1.761815592854983,1.761815592854983
icclbc,IDS,4.0,English,244.0,icclbc:10,singlescreen,noerror,0.0,0.7011153502091222,1.4269563428387804
babylabnijmegen,ADS,3.0,Dutch,262.0,babylabnijmegen:ba1969,hpp,noerror,0.0,2.5160822672564502,7.496652438168283
bllumanitoba,ADS,8.0,English,217.0,bllumanitoba:1799,hpp,noerror,0.0,1.6817585740137264,2.322779800279565
musdevutm,ADS,11.0,English,235.0,musdevutm:mb28,hpp,noerror,0.0,1.72561966672351,1.928473292543877
cogdevlabbyu,TRAIN,-1.0,English,175.0,cogdevlabbyu:p52,eyetracking,noerror,0.0,2.533696813957432,2.533696813957432
weltentdeckerzurich,IDS,9.0,Swissgerman,382.0,weltentdeckerzurich:mb13794,eyetracking,noerror,0.0,1.4350845252893227,2.3045830956567186
chosunbaby,ADS,15.0,Korean,221.0,chosunbaby:h91y53,hpp,noerror,0.0,1.8122154777954373,1.964591700000894
lcdfsu,IDS,11.0,English,480.0,lcdfsu:lcd012,eyetracking,noerror,1.0,9.069928218259438,9.566755282109055
callab,IDS,4.0,English,379.0,callab:callab38,eyetracking,noerror,0.0,0.8552357196014712,1.6352910080346121
lscppsl,IDS,7.0,french,443.0,lscppsl:22lscppsl,eyetracking,noerror,0.0,6.111467339502679,7.944492163932159
babylabplymouth,ADS,7.0,english,286.0,babylabplymouth:mb0907,hpp,noerror,0.0,2.5974910105351463,2.8881470628740535
ethosrennes,ADS,1.0,french,178.0,ethosrennes:ul805,eyetracking,noerror,0.0,0.5247285289349821,2.6004649904222727
musdevutm,IDS,4.0,English,211.0,musdevutm:mb25,hpp,noerror,0.0,2.6564059679498717,2.8243506567983707
earlysocogfm,IDS,11.0,english,312.0,earlysocogfm:s49,eyetracking,noerror,0.0,2.225704048658088,2.4309783077624445
musdevutm,IDS,6.0,English,194.0,musdevutm:mb34,hpp,noerror,1.0,2.091493622703977,2.2513970562246124
infantcogubc,IDS,7.0,English,227.0,infantcogubc:c12,eyetracking,noerror,0.0,2.8425810940598164,2.8903717578961645
infantllmadison,ADS,1.0,English,383.0,infantllmadison:mb052,hpp,noerror,0.0,1.8869181224012845,2.152692003419429
ldlottawa,IDS,5.0,English,101.0,ldlottawa:mbms11,singlescreen,noerror,0.0,-0.4541302800894454,1.4323020864656089
socialcogumiami,ADS,9.0,English,166.0,socialcogumiami:1092,eyetracking,noerror,0.0,2.5384474167160302,2.8903717578961645
purdueinfantspeech,ADS,2.0,English,273.0,purdueinfantspeech:4282,hpp,noerror,0.0,2.7324175575505043,2.8808824318750488
bcrlunlv,ADS,12.0,English,439.0,bcrlunlv:mb3002,singlescreen,noerror,0.0,1.897169983635923,2.5626389983283526
isplabmcgill,IDS,5.0,French,435.0,isplabmcgill:m29,hpp,noerror,0.0,2.7073833121145063,2.8656235882069705
kyotobabylab,ADS,13.0,Japanese,315.0,kyotobabylab:kbl010,eyetracking,error,0.0,-11.512925464970229,3.044522437723423
